Code,Code+B1,Definition,Keywords,Notes
RP-6400.1500,Child and Adolescent Psychiatry,"Programs that are staffed by licensed physicians who specialize in the prevention, diagnosis and treatment of disorders of thinking, feeling and behaviour affecting children, adolescents and their families. Services include an assessment that involves a detailed exploration of current concerns about the child or adolescent's emotional or behavioural problems, physical health and development, history of parental care (including possible abuse), family relationships and any history of parental/familial mental illness; and a variety of treatment options that may include psychotherapy, medication and/or consultation with other physicians or professionals from schools, juvenile courts, social agencies or other community organizations.",COUNSELLING * HEALTH CARE (medical) * disability (mental health) * Youth,
,,,COUNSELLING * HEALTH CARE (medical) * disability (mental health) * Children,
RP-6400.2000,Forensic Psychiatry,"Programs that are staffed by licensed physicians whose psychiatric focus is on interrelationships with civil, criminal and administrative law and the evaluation and specialized treatment of individuals involved with the legal system or incarcerated in jails, prisons or forensic psychiatric hospitals.",FORENSIC SERVICES,"2015 Feb 26 - SL added term, and added to records where appropriate"
RP-6400.2700,Geriatric Psychiatry,"Programs that specialize in providing multidisciplinary care including preventive, diagnostic, treatment and rehabilitation services for older adults with anxiety disorders, depression, cognitive impairments, psychoses or other mental health conditions in their homes, in long term care facilities or in hospital or nursing facility settings. The objectives of geriatric psychiatry are to improve the quality of life for older individuals who may have a combination of psychological, physical and social needs; and to support their ability to live independently in the community for as long as possible.",COUNSELLING * HEALTH CARE (medical) * disability (mental health) * Seniors,
RR-5150.5000-250,Gambling Addiction Prevention Programs,"Programs that attempt to reduce the incidence of problem gambling through a variety of educational interventions which help people understand the nature of problem gambling (gambling that causes psychological, physical, social or vocational disruptions in the lives of people for whom gambling is an issue); the risk factors and warning signs; and sources for treatment and support. Included are prevention programs that address specific target populations (e.g., helping professionals, people who are at risk for the problem or people who are concerned about their own gambling or the gambling of someone they care about) as well as those that are intended to reach the community at large. Delivery formats may include printed materials, videos or websites that address the subject and presentations in schools and agencies and to family groups.",EDUCATION (public awareness) * addiction (gambling),
RR-8800.5100,Mental Health Halfway Houses,"Programs that provide congregate living arrangements and a wide variety of counselling and supportive services to facilitate the return to the community, if possible, of people who have received psychiatric treatment in an inpatient or residential treatment facility for acute or chronic mental or emotional disorders. Included are facilities that provide brief, intermediate and lifelong living arrangements in a sheltered environment.",HOUSING (temporary) * disability (mental health),
,,,COMMUNITY LIVING SUPPORT * HOUSING (temporary) * disability (mental health),
RX-1700,Detoxification,"Programs that provide assistance and support for individuals who are physically dependent on substances of any kind during the withdrawal period. Detoxification is a medical regimen aimed at managing acute intoxication and withdrawal by systematically reducing the amount of the addictive substance in a patient’s body, providing reasonable control of active withdrawal symptoms and/or averting a life-threatening medical crisis related to the substance. Detoxification in generally conducted under the supervision of a physician, can take place in a wide variety of settings and at a number of levels of intensity within these settings and has three stages:  evaluation, stabilization and fostering patient readiness for and entry into treatment. ",DETOXIFICATION (residential) * addiction (alcohol and drug),
,,,DETOXIFICATION (non-residential) * addiction (alcohol and drug),
RX-8250,Substance Use Disorder Education/Prevention,"Programs that provide information about substance abuse (including the substances most commonly abused and their effects, the symptoms of abuse/addiction, screening and diagnostic procedures and methods of treatment) and/or which offer any of a variety of services that focus on substance abuse prevention for people of all ages who are at risk. Included may be printed materials or videos that address the subject; psycho-educational and skill building activities; structured groups which focus on family dynamics, problem-solving, self-esteem and similar issues; and presentations in schools and agencies and to family groups regarding the dangers of alcoholism, drug abuse and smoking, the signs of substance abuse and addiction, the legal consequences of substance abuse and how to get help.",EDUCATION (public awareness) * addiction (alcohol and drug),
RX-8450.3300,Inpatient Substance Use Disorder Treatment Facilities,"Health care facilities that provide structured treatment programs and support services in the context of a 24-hour, supervised environment for individuals who have problems related to substance abuse. Included are hospitals that are totally devoted to treatment for chemical dependency and chemical dependency recovery programs that are within general inpatient health care facilities.",RESIDENTIAL PROGRAMS * addiction (alcohol and drug),
RX-8450.5000,Maintenance Treatment,"Programs that utilize controlled dosages of legal, prescription substances which, although usually addictive themselves, prevent the symptoms associated with heroin withdrawal and thus support the efforts of abusers to abstain from heroin use. The objective of maintenance is to gradually reduce the amount of the substitute drug that is required in order to reduce and, if possible, eventually eliminate dependency altogether.",SUBSTITUTION THERAPY * addiction (alcohol and drug),
RX-8450.6600,Perinatal Substance Use Treatment,"Programs that provide comprehensive treatment services on a residential, outpatient or day treatment basis for substance abusing women who are pregnant and/or are parenting children, generally age three or younger, including those who have drug or alcohol-exposed babies.  Services may include individual and group counselling, 12-step meetings, social and recreational activities, educational and vocational services, life skills training, primary health care, perinatal health care, HIV testing and counselling, AIDS prevention, a program for family members, relapse prevention services, a continuing care program and a wide array of supportive services such as child care, transportation and parenting skills development. The objective of the program is to help these women restructure their lives so that they can handle their parenting responsibilities as well as remain drug-free.",OUTREACH * addiction (alcohol and drug) * pregnancy * Women,
RX-8450.8000,Substance Use Disorder Counselling,"Programs that provide individual, group or family therapy for individuals who abuse substances of any kind and/or for their families to help them better understand the nature of their physical and/or psychological dependency or impairment and to support their efforts to recover.",COUNSELLING * addiction (alcohol and drug),
RX-8470.8250,Substance Use Disorder Drop In Services,"Programs that provide alternative environments that are drug and alcohol-free in nature for individuals who abuse substances of any kind, and which may offer recreational activities, socialization, information and referral, individual and/or group counselling sessions, 12-step meetings, snacks, day beds, showers and/or clean clothing.",RECREATION * addiction (alcohol and drug),
RX-8500.6500,Recovery Homes/Halfway Houses,"Community-based, peer-group-oriented, residential facilities that provide food, shelter and recovery services in a supportive, non-drinking, drug-free environment for people who have completed a hospital or residential primary substance abuse rehabilitation program and need continued support in a residential setting to sustain their recovery. Services may include case management, relapse prevention counselling, 12-step meetings, educational and vocational planning, recreational activities and assistance in obtaining health, social, vocational and other services available in the community. Residents are expected to abide by house rules which vary from facility to facility. The objective is to help people who are recovering from substance abuse bridge the gap between intensive treatment and independent sober living.",HOUSING (temporary) * addiction (alcohol and drug),
TA-0480,Arts Centres,"Multidisciplinary community centres that display or sell local artist’s work; provide studio, living and/or office space for artists; offer access to artist/artisan demonstrations, workshops and classes that focus on any of a wide variety of art forms; provide indoor or outdoor venues for plays, poetry readings, musical performances, book discussions and other special events; do outreach to schools and other community organizations; and offer other services that make the arts more accessible to the community.",ARTS AND CULTURE,
,,,VISUAL ARTS/CRAFTS,
TA-1550,Cultural Heritage Programs,"Programs that support and celebrate the diversity of the community's social, artistic and intellectual inheritance.",ARTS AND CULTURE,plus ethnic group
TA-5500,Museums,"Institutions that acquire, preserve, research, exhibit and provide for educational use, objects or artifacts of artistic, cultural, historical, scientific or technological significance which are presented in a popular and fairly non-technical manner. Collections may include works of art; objects and artifacts that are related to the study of zoology, biology, botany, mineralogy, geology and other natural sciences, history, archeology, science and technology; materials related to motion pictures, sports, music, theatre and other aspects of the arts and popular culture; memorabilia and other collectibles; or material relating to the history and achievements of a particular cultural or ethnic group. Most museums have auxiliary services which enhance the museum experience for visitors.",MUSEUMS,
TA-5750,Music Performances,"Community or university-based programs or organizations operating on a commercial basis that offer classical, jazz, folk or rock concerts or other types of musical productions. Also included are programs that arrange for music festivals which are often organized thematically within a prescribed period of time and music competitions that are staged as public performances.",MUSIC,
TA-8500,Theatre Performances,"Community and university-based programs or organizations operating on a commercial basis that offer plays and stage productions including Broadway shows, drama, comedy and musicals as well as mime, performance art and other theatre forms. Also included are organizations that arrange for theatre festivals or special theatrical productions for school children, older adults, people with disabilities and other groups; or which sponsor productions in parks or other community locations including institutions.",THEATRE,
TA-9000,Visual Arts,"Programs that support, promote, provide access to and encourage the enjoyment of paintings, sculpture, ceramics, photography, crafts, architectural works and other visual art forms.",VISUAL ARTS/CRAFTS,
TB-0900,Business Development,"Programs that provide technical assistance, financing and a wide variety of other services that support the attraction, expansion and retention of local businesses, assure their competitiveness and help them remain as assets to the local economy.",CHAMBERS OF COMMERCE,
,,,CONSULTING * Business/Industry,
,,,COMMUNITY DEVELOPMENT * business/industry,
TC-0500,Agency Facility Space,Programs which make space available to agencies that need a location from which to offer services to the community.,RENTAL SPACE,
TC-5500.6000,Neighbourhood Multipurpose Centres,"Multipurpose centres that offer, at a single location, a wide variety of services and activities that are structured to meet the unique and varied needs of the entire community through different programs for different age and interest groups.",COMMUNITY CENTRES,
TC-5500.8000,Senior Centres,"Multipurpose centres that serve as focal points for older adults in the community and which offer, at a single location, a wide variety of services and activities that are needed by and of interest to this population.",COMMUNITY CENTRES * Seniors,
TC-5500.9500,Women's Centres,"Multipurpose centres that serve as a focal point for women in the community and which offer, at a single location, a wide variety of services and activities that are needed by and of interest to this population.",COMMUNITY CENTRES * Women,
TC-5500.9800,Youth Centres,"Multipurpose centres that serve as a focal point for youth in the community and which offer, at a single location, a wide variety of services and activities that are needed by and of interest to this population.",COMMUNITY CENTRES * Youth,
TD-0300.1200,City Departments/Offices,"Divisions of city, town, township, borough, village or other local government units that are responsible for overseeing the delivery of designated services to the public and managing other municipal government functions.",ADMINISTRATION * government (municipal),
,,,ELECTED REPRESENTATIVES * government (municipal),
,,,GOVERNMENT (municipal),
TD-0300.2000,Federal Government Agencies/Departments,"The principle executive divisions of the federal government of Canada which include departments, agencies, Crown corporations, special operating agencies and various affiliated organizations.",ADMINISTRATION * government (federal),
TD-0300.6400,Provincial/Territorial Government Agencies,"The principle divisions of provincial government including agencies, corporations and other entities formally established by statute, by a regulation under an enabling statute or by an Order-in-Council to which authority and responsibility to perform a public function or service has been assigned. Included are agencies with advisory, regulatory or adjudicative functions, operational agencies that provide goods and services to the public with little or no fees, operational enterprises that sell goods and services to the public, Crown foundations and trusts.",ADMINISTRATION * government (provincial),
TD-1400.0400,Arts/Humanities Councils,"Organizations that foster, nurture and sustain artistic excellence or support research, education and public programs in the humanities and create a climate in which the arts and humanities may flourish and be experienced and enjoyed by the public. Included are groups which support design arts, dance, expansion arts, folk arts, media arts (film, radio and television), museums, music, opera/musical theatre, theatre and the visual arts as well as the humanities including literature, history, philosophy, theology, modern and classical languages, archaeology, linguistics, jurisprudence and the social sciences.",ADVOCACY * arts and culture,
,,,INFORMATION AND REFERRAL * arts and culture,
TD-1600.0500,Animal Rights Groups,"Organizations that support the passage and enforcement of laws and other social measures that protect domestic and wild animals from cruelty or neglect; and/or which seek to limit or prevent the use of animals for experimental purposes. Also included are organizations that oppose animal trapping, puppy mills, hunting, cockfighting, greyhound racing, the wearing of fur, the use of animals for entertainment and other similar practices.",EDUCATION (public awareness) * animals,
,,,ADVOCACY * animals,
,,,EDUCATION (public awareness) * animals * rights,
,,,ADVOCACY * animals * rights,
TD-1600.1800,Environmental Improvement Groups,"Organizations that work for the introduction of new legislation or changes in current laws or practices that will more effectively protect the physical environment from pollution, exploitation or waste and/or preserve our natural resources, including our wildlife, for enjoyment by future generations.",EDUCATION (public awareness) * environment,
,,,ADVOCACY * environment,
TD-1600.2570,Health Related Advocacy Groups,,ADVOCACY * addiction (alcohol and drug),
,,,ADVOCACY * addiction (alcohol and drug) * Aboriginal,
,,,ADVOCACY * addiction (alcohol and drug) * hiv/aids,
,,,ADVOCACY * addiction (alcohol and drug) * legal issues,
,,,ADVOCACY * addiction (alcohol and drug) * Parents * Women,
,,,ADVOCACY * addiction (alcohol and drug) * pregnancy * Women,
,,,ADVOCACY * addiction (alcohol and drug) * social-economic issues,
,,,ADVOCACY * addiction (alcohol and drug) * Youth,
,,,ADVOCACY * alzheimers disease,
,,,ADVOCACY * amyotrophic lateral sclerosis,
,,,ADVOCACY * arthritis,
,,,ADVOCACY * autism,
,,,ADVOCACY * brain injury,
,,,ADVOCACY * breast health * cancer,
,,,ADVOCACY * cancer,
,,,ADVOCACY * cerebral palsy,
,,,ADVOCACY * Children,
,,,ADVOCACY * Chinese * Refugees,
,,,ADVOCACY * chronic fatigue syndrome,
,,,ADVOCACY * complaints * police services,
,,,ADVOCACY * deafblind,
,,,ADVOCACY * disability (intellectual),
,,,ADVOCACY * disability (mental health),
,,,ADVOCACY * disability (mental health) * Aboriginal,
,,,ADVOCACY * disability * Children,
,,,ADVOCACY * disability * Youth,
,,,ADVOCACY * down syndrome,
,,,ADVOCACY * emergency * hiv/aids,
,,,ADVOCACY * epilepsy,
,,,ADVOCACY * facial differences/disfigurement,
,,,ADVOCACY * family violence * Parents * Victims * Women,
,,,ADVOCACY * family violence * pregnancy * Victims * Women,
,,,ADVOCACY * fetal alcohol and drug effects,
,,,ADVOCACY * fetal alcohol and drug effects * Aboriginal * Children,
,,,ADVOCACY * fetal alcohol and drug effects * probation/parole * Youth,
,,,ADVOCACY * gender identity * hiv/aids,
,,,ADVOCACY * gender identity * Refugees,
,,,ADVOCACY * health care (complementary) * Women,
,,,ADVOCACY * health care (medical),
,,,ADVOCACY * health care (medical) * seniors,
,,,ADVOCACY * hepatitis,
,,,ADVOCACY * hepatitis * Youth,
,,,ADVOCACY * hiv/aids,
,,,ADVOCACY * hiv/aids * Aboriginal,
,,,ADVOCACY * hiv/aids * Refugees,
,,,ADVOCACY * hiv/aids * sex trade,
,,,ADVOCACY * hiv/aids * sexual orientation * Spanish,
,,,ADVOCACY * hiv/aids * street involvement,
,,,ADVOCACY * hiv/aids * Women,
,,,ADVOCACY * hiv/aids * Youth,
,,,ADVOCACY * homelessness,
,,,ADVOCACY * homelessness * Women,
,,,ADVOCACY * housing,
,,,ADVOCACY * huntington disease,
,,,ADVOCACY * legal issues * sex trade,
,,,ADVOCACY * multiple sclerosis,
,,,ADVOCACY * muscular dystrophy,
,,,ADVOCACY * myasthenia gravis,
,,,ADVOCACY * neuromuscular conditions,
,,,ADVOCACY * osteoporosis,
,,,ADVOCACY * parkinsons disease,
,,,ADVOCACY * poverty,
,,,ADVOCACY * rare diseases,
,,,ADVOCACY * Refugees,
,,,ADVOCACY * Refugees * Spanish,
,,,ADVOCACY * rubella,
,,,ADVOCACY * seniors,
,,,ADVOCACY * sex trade,
,,,ADVOCACY * sexual orientation * Refugees,
,,,ADVOCACY * sexually transmitted infections,
,,,ADVOCACY * tinnitus,
,,,ADVOCACY * vision impairment,
TD-1600.2600,Homelessness  Advocacy Groups,"Organizations that support measures that address the needs of people who are, or are at risk of becoming, homeless including the need for shelter, transitional housing, permanent housing, medical care and basic human rights.",ADVOCACY * homelessness,
TD-1600.2800,Housing Advocacy Groups,"Organizations that advocate for constructing, renovating or otherwise improving the availability of safe, affordable rental and purchasable housing for low-income individuals and families, older adults, people with disabilities, migrant workers and others who are unable to purchase a home or rent a home or apartment under current market conditions or who are forced to spend an excessively large proportion of their income on housing to the detriment of other necessities.",ADVOCACY * housing,
TD-1600.3100-140,Children's Rights Groups,"Organizations that support the passage and enforcement of laws that protect children from arbitrary treatment, abuse, neglect, exploitation and other forms of maltreatment; and which promote social measures that are designed to enhance the well-being of children.",ADVOCACY * Children,
TD-1600.3100-160,Constitutional/Civil Rights Groups,"Organizations that work to protect the rights of people guaranteed by the Charter of Rights and Freedoms, and which promote the passage and enforcement of laws and other social measures that extend individual rights or more effectively protect them. In Canada, these rights include the defined fundamental freedoms of conscience and religion; freedom of thought, belief, opinion and expression, including freedom of the press and other media of communication; freedom of peaceful assembly; and freedom of association together with specific rights relating to democracy, mobility, equality, official languages, minority language education and legal rights.",ADVOCACY * rights,
TD-1600.3100-180,Disability Rights Groups,"Organizations that support the passage and enforcement of laws or other social measures that protect the rights of people who have physical, mental, developmental or learning disabilities and maximize their ability to enjoy the same opportunities, resources and privileges as the mainstream population.",ADVOCACY * deaf and hard-of-hearing,
,,,ADVOCACY * deafblind,
,,,,
TD-1600.3100-200,Ethnocultural Advocacy Groups,Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of one or more specific ethnocultural groups.,ADVOCACY,plus ethnic group
TD-1600.3100-250,Gay/Lesbian/Bisexual/Transgender Advocacy Groups,"Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of gays, lesbians, bisexuals, transgender individuals, intersexed individuals (people born with reproductive organs and/or genitalia that are ambiguous or atypical), cross-dressers and/or people who are in the process of coming out or are questioning their sexual orientation or gender identity.",ADVOCACY * gender identity,
,,,ADVOCACY * sexual orientation,
TD-1600.3100-330,Immigrant Rights Groups,Organizations that support the passage and enforcement of laws and other social measures which protect the rights and interests of individuals who have newly arrived in the country or which govern the process by which individuals and families are granted permission to immigrate.,ADVOCACY * Immigrants/Ethnocultural Groups,
TD-1600.3100-550,Mental Health Associations,"Organizations whose members are mental health service providers, consumers, parents and advocates who have affiliated for the purpose of improving mental health services, preventing mental illness, promoting social conditions which enhance the potential for good mental health and advocating for an environment of awareness and tolerance. Many mental health associations provide information about and referral to local mental health resources, public education regarding mental illness, advocacy, and technical assistance and training on issues affecting their members.",ADVOCACY * disability (mental health),
TD-1600.3100-650,Reproductive Rights Groups,"Organizations that support the passage and enforcement of laws and other social measures which preserve a woman's right to reproductive health care including contraception, sterilization and the choice to terminate her pregnancy. Reproductive rights groups may also urge action on other issues such as assuring availability of sex education to young people, preventing violence at abortion clinics and protecting women seeking an abortion from harassment.",ADVOCACY * abortion * pro-choice,
TD-1600.3100-750,Right to Life Groups,"Organizations that support the passage of legislation which assigns legal rights to unborn human beings and seeks to criminalize the termination of unwanted pregnancies. Some groups also support measures which seek to prevent capital punishment, euthanasia, assisted suicide and other similar life and death interventions.",ADVOCACY * abortion * pro-life,
,,,ADVOCACY * euthanasia * pro-life,
TD-1600.3200,Hunger/Poverty Action Groups,"Organizations that work to develop and implement solutions to the problem of poverty at local, provincial or national levels, and the consequent difficulty that low-income individuals have in obtaining access to food, housing, clothing and the other basic necessities of life.",ADVOCACY * poverty,
TD-1600.8500,Transportation Advocacy Groups,"Organizations that advocate for the development and ongoing improvement of local and regional transportation options for community residents that increase safety, reduce air and noise pollution, improve walking and cycling conditions, increase opportunities for physical activity and reduce automobile travel. Specific issues may include improved access to transportation services for older adults, people with disabilities, rural area residents and other groups; improved paratransit services; support for the development or expansion of specific transportation modes, e.g., light rail transit systems, ferry systems, inter-city rapid rail; increased use of the local public transit system, bicycle commuting, walking and other alternatives to automobile travel; safe and easy pedestrian access to popular destinations; highway construction and other infrastructure improvements such as bicycle paths/trails from outlying/suburban to city centres, pedestrian-oriented streets and safe bicycle parking facilities; and multimodal navigation tools that offer guidance for walking, cycling, driving and public transit use.",ADVOCACY * transportation,
,,,ADVOCACY * bicycling,
TD-6500,Planning/Coordinating/Advisory Groups,"Governing boards, advisory boards, commissions, committees and other groups that provide advice, guidance and, in some cases, formal oversight, for public and private organizations that are responsible for the provision of services to the community; that assess existing social conditions and problems and develop and assist in the implementation of specific strategies for meeting the human service needs of the community; and/or which assist community agencies and organizations to coordinate the provision of services in an efficient, nonduplicative way. Also included are entities that are composed of community agencies which have an established networking relationship that provides a collaborative approach to addressing specific identified community needs and problems.",COMMUNITY DEVELOPMENT,
TD-6600.2200,Federal Officials Offices,The offices of individuals who have been appointed or elected to a federal public office for a specified tenure and who are thereby in a position to exercise that portion of the sovereign functions of government that are conferred on that office.,ELECTED REPRESENTATIVES * government (federal),
TD-6600.4500-400,First Nations Band Offices,"Offices that serve as administrative centres for a known and recognized Band of First Nations persons, whose affairs are usually governed by a Band Council and/or traditional chiefs.",GOVERNMENT * Aboriginal,
,,,ADMINISTRATION * Aboriginal,
TD-6600.6500,Provincial/Territorial Officials Offices,The offices of individuals who have been appointed or elected to a provincial or territorial public office for a specified tenure and who are thereby in a position to exercise that portion of the sovereign functions of government that are conferred on that office.,ELECTED REPRESENTATIVES * government (provincial),
TE-8920.6600,Recycling,"Programs that collect residential or commercial waste products to salvage reusable resources such as paper, plastics, glass or metals.",RECYCLING,
TF-1000,Congratulatory Messages,"Programs that deliver messages to people celebrating a special occasion or who have experienced success or good fortune. Congratulations include messages from the Queen, Governor General, Prime Minister or Premier for special anniversaries and birthdays. ",CONGRATULATORY MESSAGES,
TH-1500.1400,City/County Offices of Emergency Services,"Local government offices that have responsibilities for the coordination of emergency management activities including planning, preparedness, response, recovery and mitigation; and which serve as the central point of contact for receiving reports of incidents that occur within their jurisdiction and for disseminating emergency-related information.",ADMINISTRATION * disasters,depending on specific agency
,,,ADMINISTRATION * disasters * emergency,
TH-1500.6500,Provincial/Territorial Emergency Management Organizations,"Provincial/territorial government offices that have primary responsibility for the coordination of emergency management activities including planning, preparedness, response, recovery and mitigation; and which serve as the central point of contact for receiving reports of incidents that occur within their jurisdiction and for disseminating emergency-related information.",ADMINISTRATION * disasters,depending on specific agency
,,,ADMINISTRATION * disasters * emergency,
TH-1500.6600,Public Safety Canada Offices,"Offices of the Public Safety (PS), the central agency within the federal government that is responsible for federal efforts to reduce the loss of life through a comprehensive, all-hazards emergency management program of emergency planning, preparedness, mitigation, response and recovery. Working closely with provincial and local governments to provide technical guidance and training. Programs include response to and recovery from major natural disasters and human-caused emergencies, emergency management planning, flood-plain management, hazardous materials planning, dam safety and multihazard response planning.",ADMINISTRATION * police services,depending on specific agency
,,,ADMINISTRATION * correctional facilities,
,,,ADMINISTRATION * disasters,
TH-2300,Disaster Response Services,"Organizations that are responsible for taking actions before, during and after the onset of a major disaster or large-scale emergency that will end the emergency, preserve lives, limit damage, ensure the availability of critical services and reduce the probability of secondary effects.",INTERVENTION * disasters * emergency,
,,,EDUCATION (public awareness) * disasters * emergency,
,,,ADMINISTRATION * disasters,
TI-1800.1500,Clothing Donation Programs,"Programs that accept new or secondhand clothing, repair the items if necessary, and keep the clothing for use in their own programs, donate it to shelters and other community-based organizations for distribution to the people they serve, or sell it to raise money for agency programs.",DONATIONS ACCEPTED * clothing,
TI-1800.3000,Household Goods Donation Programs,"Programs that accept new or secondhand furniture, appliances, kitchenware, linens, cleaning supplies and other consumer products for use in the household, refurbish them if necessary, and keep them for use in their own programs, donate them to other community-based organizations for distribution to the people they serve, or sell them to raise money for agency programs.",DONATIONS ACCEPTED * furniture/household goods,
TI-1800.4500,Leisure Equipment/Supplies Donation Programs,"Programs that accept new or secondhand equipment that is used for leisure time pursuits, repair the items if necessary, and keep them for use in their own programs, donate them to other community-based organizations for distribution to the people they serve, or sell them to raise money for agency programs.",DONATIONS ACCEPTED * bicycling * equipment,
TI-1800.5000,Medical Equipment/Assistive Technology Donation Programs,"Programs that accept assistive technology equipment (i.e., equipment, appliances and assistive aids for people with disabilities), sickroom equipment, medical bandages, respiratory aids and other medical supplies that are required by people who are convalescing following surgery or illness, refurbish them if necessary, and keep them for use in their own program or donate them to other community-based organizations for their own use or for distribution to the people they serve.",DONATIONS ACCEPTED * disability (physical) * equipment,
,,,DONATIONS ACCEPTED * equipment * health conditions,
TI-1800.6500,Office Equipment/Supplies Donation Programs,"Programs that accept new or secondhand office equipment, supplies, furniture and other office products, refurbish them if necessary, and keep them for use in their own program or donate them to other community-based organizations.",DONATIONS ACCEPTED * computing * equipment,
TJ-3000.1500,Comprehensive Information and Referral,Programs that maintain information about the full range of human services and which function as the primary source of information about and linkage to human service providers in the community.,INFORMATION AND REFERRAL,
,,,INFORMATION AND REFERRAL * Families,
TJ-3000.8000,Specialized Information and Referral,"Programs that maintain information about community resources that are appropriate for a specific target group or human services sector (for example, youth programs or addiction services) and which link individuals who are in need of specialized services with appropriate resources and/or which provide information about community agencies and organizations that offer specialized services.",,
TJ-4400.5000,Municipal Libraries,"Libraries that are units of or affiliated with city, town, township, borough, village or other local units of government and which provide reference and other library services for municipal officials and employees.",LIBRARIES,
TJ-4400.8100,Special Libraries,"Public or private libraries that are devoted to acquiring, classifying and making available to the community for research or general appreciation, books, manuscripts, letters and other documents or artistic materials that are rare, of special interest, of historical significance or of scholarly value. Also included are libraries whose collections specialize in materials that are related to a particular focus or target group, e.g., political thought, minority groups, gay or lesbian groups, religious groups, women.",,
TJ-4500.8300-050,Archives,"Programs that are responsible for identifying, appraising, accessioning, preserving, arranging, describing and providing reference services to the records of public or private institutions and/or the personal papers of individuals or families which are being kept permanently for the historical value which they potentially offer.",INFORMATION AND REFERRAL * documents * heritage,
TJ-4500.8300-100,Braille Materials/Collections,"Libraries or other organizations that maintain collections of books, magazines and other reading materials in Braille, a system that uses raised dots to represent numerals and letters of the alphabet which can be identified by the fingers, that are made available on a loan basis to community residents who are blind or who have visual impairments. Also included are organizations that distribute copies of books, magazines and other reading material in Braille format that people can keep.",EQUIPMENT * …,2015 Mar 6: SL added this term and applied to records as appropriate.
TJ-5500,Media/Communications,"Radio and television stations, book publishers, newspaper publishers, producers and distributors of film and video and other members of the media and communications industries that serve as channels of communication for news, entertainment, advertising and other matters of current interest which may include special public service features or programming for the community.",MEDIA,
TJ-6500,Public Awareness/Education,"Programs that utilize a wide variety of materials including pamphlets and other literature, media presentations, speakers, workshops, directories, newsletters and outreach and prevention programs to make the public aware of the human service needs of the community, the resources that are available to meet those needs, and the issues which are relevant to specific social problems and the measures that have been proposed for their solution.",EDUCATION (public awareness),
TL-3300,International Development Programs,"Programs that provide technical assistance, training and personal and material resources to support the capacity-building efforts of developing nations with a focus on areas (such as agricultural and rural development, health, education, social welfare, small business development and industrial growth) which facilitate the host country's ability to provide for the basic needs of its people.",INTERNATIONAL DEVELOPMENT,
TN-0500,Athletic Associations,"Organizations that are responsible for regulating, coordinating and promoting athletic programs for children, youth and/or adults at the local, provincial, regional, national or international levels. The associations may focus on a particular sport (e.g., football, figure skating), may pertain to programs within particular types of institutions (e.g., high schools, colleges and universities), may focus on professional sports or may be structured to meet the needs of individual professionals associated with athletic programs (e.g., coaches, officials, sports writers).",ADMINISTRATION * sports,
,,,ADVOCACY * sports,
TN-1000.1500,Chambers of Commerce,"Local associations of business people, either operating their own companies or employed in organizations, who have organized to promote the welfare of their community (city, county, town, township or other locale), especially its commercial interests. Chambers of commerce direct their efforts to promoting the common economic interests of all the commercial enterprises within a locality rather than focusing on a particular industry, usually have an elected board of directors, and do their work through committees. They encourage the growth of new businesses, provide assistance to new firms seeking to locate in the community, advocate for actions that promote tourism and benefit the regional economy and serve as a voice for the business community at local and provincial levels. Member benefits may include publicity and advertising opportunities in vehicles such as member directories, visitor's guides and a community calendar; ribbon cutting ceremonies and grand openings for new establishments; business expos; job fairs; small business counselling; business seminars; member referrals; member-to-member discounts; health and other insurance; and a variety of social activities.",CHAMBERS OF COMMERCE,
TN-1000.8500,Trade Associations,"Organizations whose members are individuals and companies in the same trade or industry who have affiliated for the purpose of advancing common interests, taking united action on common problems, exchanging ideas and ensuring that the industry grows and prospers. Trade associations lobby for legislation that advances industry interests; establish standards and guidelines that strengthen the field; provide information about issues which affect the industry and a forum for discussion and action where necessary; research and disseminate industry statistics; provide websites, directories, newsletters or other vehicles where members can advertise their products and services; and/or host national or international trade exhibitions, showcases and product presentations, trade missions and other promotional activities.  Some trade associations have buying consortiums; negotiate discounts on related services; and offer liability, health, disability, business and other insurance to members.",INFORMATION AND REFERRAL * documents * heritage,
TN-1800,Education Associations,"Organizations whose members are academics who represent a particular discipline or teachers, administrators, school psychologists or other educational personnel who have affiliated for the purpose of continuing professional development through articles in journals and other publications, participation in professional conferences and other informal educational opportunities. These organizations may deal with complaints about members and may also provide assistance for members who are having difficulty with their employers.",NETWORKING * children * day care * Service Providers,
TN-2900,Home Care/Hospice Associations,"Organizations whose members are home health, hospice and personal care agencies that have affiliated for the purpose of promoting mutual interests, increasing the visibility of home care services, disseminating information to members and the general public and improving the quality, accessibility and affordability of in-home and end of life care. Home health and hospice associations may provide opportunities for personal and professional development through conferences, publications and other activities; advocate for the rights of patients, their families and caregivers and people who are bereaved; maintain referral services through which people who require home health, personal care, palliative care or hospice services are referred to member agencies; and/or provide information about employment opportunities for people working in the field.",NETWORKING * home support * Service Providers,
,,,NETWORKING * hospices * Service Providers,
,,,NETWORKING * palliative care * Service Providers,
